iter	Passed	Remaining
0	143	143662
1	146	72969
2	148	49390
3	150	37424
4	153	30461
5	156	25859
6	159	22586
7	161	20026
8	162	17947
9	164	16313
10	167	15069
11	169	13964
12	171	13030
13	173	12194
14	174	11460
15	176	10827
16	177	10247
17	178	9746
18	179	9286
19	182	8955
20	184	8579
21	185	8242
22	187	7964
23	189	7697
24	190	7428
25	192	7198
26	193	6979
27	195	6788
28	197	6616
29	199	6439
30	200	6273
31	201	6110
32	203	5960
33	204	5812
34	205	5674
35	207	5554
36	208	5429
37	211	5352
38	213	5250
39	214	5149
40	216	5059
41	218	4978
42	219	4893
43	221	4809
44	222	4730
45	224	4658
46	226	4592
47	228	4522
48	230	4466
49	231	4403
50	233	4337
51	234	4271
52	235	4209
53	237	4161
54	238	4101
55	239	4043
56	241	3987
57	242	3932
58	243	3880
59	244	3829
60	245	3778
61	246	3730
62	247	3683
63	248	3637
64	249	3593
65	251	3563
66	253	3524
67	254	3484
68	255	3447
69	256	3408
70	257	3372
71	258	3336
72	259	3301
73	260	3265
74	262	3231
75	263	3199
76	264	3166
77	266	3145
78	267	3119
79	268	3090
80	269	3062
81	271	3036
82	271	3003
83	272	2976
84	274	2950
85	275	2924
86	276	2898
87	277	2874
88	278	2850
89	279	2828
90	281	2813
91	283	2795
92	284	2773
93	285	2754
94	286	2732
95	287	2711
96	289	2691
97	290	2671
98	291	2650
99	292	2631
100	293	2611
101	294	2597
102	296	2582
103	298	2568
104	299	2550
105	300	2532
106	301	2515
107	302	2500
108	303	2483
109	304	2467
110	306	2451
111	307	2435
112	308	2418
113	309	2403
114	310	2391
115	312	2380
116	313	2364
117	314	2352
118	316	2342
119	317	2330
120	319	2317
121	320	2304
122	321	2293
123	322	2281
124	324	2268
125	326	2263
126	327	2249
127	328	2237
128	329	2224
129	330	2211
130	331	2200
131	332	2188
132	333	2177
133	335	2165
134	336	2154
135	337	2143
136	338	2131
137	340	2129
138	342	2121
139	344	2114
140	345	2106
141	346	2093
142	347	2082
143	348	2072
144	349	2062
145	350	2052
146	352	2043
147	353	2034
148	355	2028
149	356	2019
150	357	2009
151	358	2000
152	359	1992
153	360	1983
154	362	1973
155	363	1965
156	364	1956
157	365	1947
158	368	1946
159	372	1953
160	373	1946
161	375	1941
162	376	1935
163	378	1930
164	381	1929
165	383	1926
166	387	1933
167	391	1938
168	392	1932
169	395	1928
170	396	1922
171	397	1915
172	399	1908
173	401	1904
174	402	1899
175	404	1895
176	406	1890
177	408	1885
178	409	1878
179	410	1871
180	412	1864
181	413	1857
182	415	1854
183	416	1847
184	417	1840
185	419	1833
186	420	1826
187	421	1819
188	422	1812
189	423	1805
190	424	1798
191	425	1792
192	427	1786
193	428	1779
194	430	1777
195	431	1770
196	432	1764
197	433	1757
198	435	1751
199	436	1745
200	437	1738
201	438	1733
202	439	1726
203	440	1720
204	442	1714
205	443	1707
206	445	1705
207	446	1699
208	447	1693
209	448	1687
210	449	1681
211	450	1675
212	451	1670
213	452	1663
214	454	1657
215	455	1653
216	456	1647
217	457	1641
218	459	1640
219	461	1635
220	462	1630
221	463	1624
222	464	1619
223	465	1613
224	466	1608
225	467	1602
226	469	1597
227	470	1591
228	476	1604
229	477	1600
230	479	1596
231	480	1591
232	482	1587
233	483	1581
234	484	1576
235	485	1571
236	486	1567
237	487	1562
238	490	1560
239	491	1555
240	492	1550
241	493	1544
242	494	1539
243	495	1534
244	496	1529
245	497	1524
246	498	1518
247	499	1513
248	500	1508
249	501	1503
250	502	1498
251	503	1494
252	505	1491
253	506	1487
254	507	1482
255	509	1480
256	510	1476
257	511	1472
258	513	1468
259	514	1463
260	515	1459
261	516	1455
262	517	1450
263	520	1449
264	521	1445
265	522	1440
266	523	1436
267	524	1431
268	525	1426
269	526	1422
270	527	1417
271	528	1413
272	529	1408
273	530	1404
274	530	1399
275	532	1395
276	533	1393
277	535	1389
278	536	1385
279	537	1381
280	538	1377
281	539	1372
282	540	1368
283	541	1364
284	542	1360
285	543	1356
286	544	1352
287	545	1347
288	546	1344
289	548	1341
290	549	1339
291	550	1335
292	551	1331
293	553	1328
294	554	1324
295	555	1321
296	556	1317
297	557	1313
298	558	1310
299	559	1306
300	560	1302
301	561	1298
302	563	1296
303	565	1293
304	566	1290
305	567	1286
306	568	1282
307	569	1279
308	570	1275
309	571	1271
310	572	1268
311	573	1264
312	574	1262
313	576	1259
314	577	1256
315	579	1254
316	581	1252
317	582	1248
318	583	1245
319	584	1242
320	585	1238
321	586	1235
322	587	1232
323	589	1229
324	590	1226
325	591	1223
326	593	1222
327	595	1219
328	596	1216
329	598	1214
330	599	1210
331	600	1207
332	601	1204
333	602	1201
334	603	1198
335	605	1195
336	606	1192
337	608	1191
338	609	1188
339	610	1185
340	611	1182
341	612	1179
342	614	1176
343	615	1173
344	616	1170
345	617	1167
346	618	1164
347	619	1161
348	620	1158
349	622	1156
350	624	1154
351	625	1151
352	626	1148
353	627	1145
354	628	1142
355	630	1139
356	631	1136
357	632	1133
358	633	1131
359	634	1128
360	635	1125
361	637	1123
362	639	1121
363	640	1118
364	641	1116
365	642	1113
366	644	1110
367	645	1108
368	646	1105
369	647	1102
370	648	1099
371	649	1096
372	651	1095
373	652	1092
374	654	1090
375	655	1087
376	656	1084
377	657	1081
378	658	1078
379	659	1076
380	660	1073
381	661	1070
382	662	1067
383	663	1064
384	664	1062
385	667	1061
386	668	1058
387	669	1056
388	670	1053
389	671	1050
390	672	1048
391	673	1045
392	675	1042
393	676	1039
394	677	1037
395	678	1034
396	679	1031
397	682	1031
398	683	1029
399	684	1026
400	685	1024
401	686	1021
402	687	1019
403	689	1016
404	690	1013
405	690	1010
406	691	1008
407	692	1005
408	693	1002
409	695	1000
410	697	999
411	698	996
412	699	994
413	701	992
414	702	990
415	703	988
416	705	985
417	706	983
418	707	980
419	708	978
420	709	975
421	711	974
422	713	972
423	714	970
424	715	968
425	716	966
426	718	963
427	719	960
428	720	958
429	721	955
430	722	953
431	723	951
432	725	950
433	727	948
434	728	946
435	729	943
436	730	941
437	731	939
438	733	936
439	734	934
440	735	932
441	736	929
442	737	927
443	738	924
444	742	926
445	745	925
446	746	923
447	749	923
448	751	922
449	752	920
450	756	920
451	757	918
452	759	916
453	760	914
454	761	912
455	763	910
456	764	908
457	765	906
458	767	904
459	771	905
460	772	902
461	773	900
462	774	898
463	775	896
464	776	893
465	778	891
466	779	889
467	780	886
468	781	885
469	782	882
470	784	881
471	786	879
472	787	877
473	789	875
474	790	873
475	791	871
476	792	869
477	794	867
478	795	865
479	796	862
480	797	860
481	798	858
482	800	856
483	801	854
484	802	852
485	803	850
486	805	848
487	806	845
488	807	843
489	808	841
490	809	839
491	812	838
492	813	836
493	815	834
494	816	832
495	817	830
496	818	828
497	819	825
498	820	823
499	821	821
500	822	819
501	823	817
502	824	814
503	825	812
504	826	810
505	828	809
506	830	807
507	831	805
508	832	802
509	833	800
510	834	798
511	835	796
512	836	794
513	838	792
514	839	790
515	840	788
516	841	786
517	843	785
518	845	783
519	846	781
520	848	779
521	849	777
522	850	775
523	851	773
524	852	771
525	853	769
526	854	767
527	855	765
528	856	763
529	858	761
530	859	759
531	861	757
532	862	755
533	863	753
534	864	751
535	865	749
536	866	747
537	867	745
538	868	743
539	869	741
540	870	738
541	873	738
542	874	736
543	875	734
544	878	733
545	879	731
546	881	729
547	883	728
548	884	726
549	887	726
550	889	724
551	891	723
552	893	722
553	895	720
554	896	719
555	897	717
556	899	715
557	900	713
558	901	711
559	903	710
560	905	708
561	906	706
562	907	704
563	908	702
564	909	700
565	911	698
566	912	696
567	913	694
568	914	692
569	915	690
570	916	688
571	918	687
572	919	685
573	920	683
574	921	681
575	922	679
576	923	677
577	924	675
578	925	673
579	927	671
580	928	669
581	929	667
582	930	665
583	933	664
584	935	663
585	936	661
586	937	659
587	939	658
588	940	656
589	942	655
590	943	653
591	945	651
592	948	650
593	949	648
594	950	647
595	952	645
596	953	643
597	954	641
598	956	640
599	957	638
600	959	636
601	960	635
602	964	635
603	965	633
604	967	631
605	968	629
606	969	627
607	970	625
608	972	624
609	973	622
610	975	620
611	981	622
612	983	620
613	985	619
614	986	617
615	987	615
616	989	613
617	990	612
618	993	611
619	994	609
620	996	608
621	997	606
622	999	604
623	1000	602
624	1001	600
625	1002	599
626	1004	597
627	1005	595
628	1007	594
629	1009	592
630	1010	590
631	1011	589
632	1012	587
633	1014	585
634	1015	583
635	1016	581
636	1017	579
637	1018	578
638	1019	576
639	1020	574
640	1023	573
641	1024	571
642	1025	569
643	1026	567
644	1027	565
645	1029	563
646	1030	561
647	1031	560
648	1032	558
649	1033	556
650	1034	554
651	1035	552
652	1037	551
653	1039	549
654	1040	548
655	1041	546
656	1042	544
657	1044	542
658	1045	541
659	1046	539
660	1047	537
661	1048	535
662	1049	533
663	1051	532
664	1053	530
665	1054	528
666	1055	526
667	1056	525
668	1057	523
669	1059	521
670	1060	519
671	1061	518
672	1062	516
673	1063	514
674	1065	512
675	1066	511
676	1068	509
677	1069	508
678	1071	506
679	1072	504
680	1073	503
681	1075	501
682	1076	499
683	1077	497
684	1078	495
685	1079	494
686	1080	492
687	1082	490
688	1083	488
689	1084	487
690	1085	485
691	1087	484
692	1088	482
693	1089	480
694	1090	478
695	1091	476
696	1092	475
697	1093	473
698	1096	471
699	1097	470
700	1098	468
701	1100	467
702	1101	465
703	1102	463
704	1103	461
705	1105	460
706	1106	458
707	1107	456
708	1108	454
709	1109	453
710	1111	451
711	1112	450
712	1114	448
713	1115	446
714	1116	445
715	1118	443
716	1119	441
717	1120	440
718	1121	438
719	1123	436
720	1124	435
721	1127	434
722	1128	432
723	1129	430
724	1131	429
725	1132	427
726	1134	425
727	1137	424
728	1138	423
729	1139	421
730	1141	420
731	1143	418
732	1144	416
733	1145	415
734	1147	413
735	1148	411
736	1149	410
737	1150	408
738	1151	406
739	1152	405
740	1153	403
741	1155	401
742	1156	400
743	1157	398
744	1159	396
745	1160	395
746	1161	393
747	1162	391
748	1163	390
749	1164	388
750	1166	386
751	1167	384
752	1168	383
753	1169	381
754	1171	380
755	1172	378
756	1173	376
757	1174	375
758	1175	373
759	1176	371
760	1178	370
761	1179	368
762	1180	366
763	1181	365
764	1183	363
765	1184	361
766	1186	360
767	1187	358
768	1188	356
769	1189	355
770	1190	353
771	1191	351
772	1192	350
773	1193	348
774	1194	346
775	1195	345
776	1197	343
777	1198	341
778	1200	340
779	1201	338
780	1202	337
781	1203	335
782	1204	333
783	1205	332
784	1206	330
785	1207	328
786	1208	327
787	1210	325
788	1211	323
789	1212	322
790	1213	320
791	1215	319
792	1216	317
793	1217	315
794	1218	314
795	1219	312
796	1220	310
797	1221	309
798	1222	307
799	1224	306
800	1225	304
801	1226	302
802	1227	301
803	1229	299
804	1231	298
805	1232	296
806	1233	294
807	1234	293
808	1235	291
809	1237	290
810	1238	288
811	1239	286
812	1240	285
813	1241	283
814	1242	282
815	1244	280
816	1245	279
817	1247	277
818	1248	275
819	1249	274
820	1250	272
821	1252	271
822	1253	269
823	1254	267
824	1255	266
825	1256	264
826	1258	263
827	1259	261
828	1261	260
829	1262	258
830	1264	257
831	1265	255
832	1266	253
833	1267	252
834	1268	250
835	1269	249
836	1270	247
837	1272	245
838	1274	244
839	1275	242
840	1276	241
841	1277	239
842	1278	238
843	1280	236
844	1281	235
845	1282	233
846	1283	231
847	1284	230
848	1285	228
849	1286	227
850	1288	225
851	1289	224
852	1291	222
853	1292	220
854	1293	219
855	1294	217
856	1295	216
857	1296	214
858	1298	213
859	1299	211
860	1300	209
861	1301	208
862	1303	206
863	1304	205
864	1306	203
865	1307	202
866	1308	200
867	1309	199
868	1310	197
869	1311	195
870	1312	194
871	1313	192
872	1314	191
873	1315	189
874	1317	188
875	1318	186
876	1320	185
877	1321	183
878	1322	182
879	1323	180
880	1324	178
881	1325	177
882	1326	175
883	1327	174
884	1328	172
885	1329	171
886	1330	169
887	1332	168
888	1334	166
889	1336	165
890	1337	163
891	1338	162
892	1339	160
893	1340	158
894	1342	157
895	1343	155
896	1344	154
897	1345	152
898	1346	151
899	1348	149
900	1349	148
901	1350	146
902	1351	145
903	1353	143
904	1354	142
905	1356	140
906	1357	139
907	1358	137
908	1359	136
909	1360	134
910	1362	133
911	1363	131
912	1365	130
913	1366	128
914	1367	127
915	1368	125
916	1369	123
917	1370	122
918	1371	120
919	1372	119
920	1373	117
921	1375	116
922	1378	114
923	1379	113
924	1380	111
925	1381	110
926	1383	108
927	1384	107
928	1385	105
929	1386	104
930	1387	102
931	1389	101
932	1390	99
933	1391	98
934	1393	96
935	1394	95
936	1395	93
937	1396	92
938	1397	90
939	1398	89
940	1399	87
941	1400	86
942	1402	84
943	1403	83
944	1404	81
945	1405	80
946	1407	78
947	1408	77
948	1409	75
949	1410	74
950	1411	72
951	1412	71
952	1413	69
953	1415	68
954	1416	66
955	1417	65
956	1418	63
957	1419	62
958	1421	60
959	1422	59
960	1424	57
961	1425	56
962	1426	54
963	1427	53
964	1428	51
965	1430	50
966	1431	48
967	1432	47
968	1433	45
969	1434	44
970	1436	42
971	1437	41
972	1439	39
973	1440	38
974	1442	36
975	1443	35
976	1444	34
977	1445	32
978	1446	31
979	1447	29
980	1448	28
981	1449	26
982	1451	25
983	1452	23
984	1453	22
985	1455	20
986	1456	19
987	1457	17
988	1458	16
989	1459	14
990	1460	13
991	1461	11
992	1462	10
993	1464	8
994	1465	7
995	1467	5
996	1468	4
997	1469	2
998	1471	1
999	1472	0
